event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-82556,8,2,1,1,True,['SC TO-T' 'SC TO-T/A'],['third_party_tender'],third_party_tender,['BCP Investment Corp'],BCP Investment Corp,['0001372807'],0001372807,['BCIC'],2025-11-12,2025-12-12,30,6,2,"['SC TO-T', 'SC TO-T/A']",True,False,False,True,tender_offer,True,False,False,simple
005-82627,37,11,8,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Central North Airport Group'],Central North Airport Group,['0001378239' '0001824550'],0001378239,['GAERF' 'OMAB'],2020-12-23,2021-07-07,196,26,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-82694,16,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['FINJAN HOLDINGS, INC.']","FINJAN HOLDINGS, INC.",['0001366340' '0001814614'],0001366340,[],2020-06-24,2020-07-23,29,9,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-82887,48,10,7,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,"['CONTINENTAL RESOURCES, INC']","CONTINENTAL RESOURCES, INC",['0000732834' '0001950914'],0000732834,[],2022-10-24,2022-11-22,29,38,10,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-83386,23,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['ALBIREO PHARMA, INC.']","ALBIREO PHARMA, INC.",['0001322505' '0001370483'],0001322505,[],2023-01-23,2023-03-02,38,16,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-83403,30,8,5,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['PROFIRE ENERGY INC'],PROFIRE ENERGY INC,['0001289636' '0002041539'],0001289636,['PFIE'],2024-10-29,2025-01-02,65,22,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-83522,19,5,3,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CVR ENERGY INC'],CVR ENERGY INC,['0001034563' '0001376139'],0001034563,['CVI'],2024-12-06,2025-01-10,35,14,5,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-83694,10,4,2,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Rubicon Technology, Inc.']","Rubicon Technology, Inc.",['0001133062' '0001410172'],0001133062,['RBCN'],2022-07-13,2022-08-18,36,6,4,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-83696,20,7,3,4,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['EDENOR'],EDENOR,['0001395213' '0001875026'],0001395213,['EDN'],2021-07-30,2021-12-14,137,13,7,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-83797,12,5,3,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Vedanta Ltd'],Vedanta Ltd,['0001370431' '0001374587'],0001370431,[],2021-03-17,2021-04-21,35,7,5,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
