corporate_action_type,field,coverage_pct,n_sample_events,relevance_assumption,evidence_type
mixed,election_deadline,70.59,17,relevant,inferred_regex_presence
mixed,response_deadline,47.06,17,relevant,inferred_regex_presence
mixed,cancellation_reason,52.94,17,relevant,inferred_regex_presence
mixed,eligible_quantity,0.0,17,relevant,internal_only
mixed,position_quantity,0.0,17,relevant,internal_only
mixed,principal_amount,52.94,17,relevant,inferred_regex_presence
mixed,interest_amount,17.65,17,relevant,inferred_regex_presence
mixed,cash_amount,94.12,17,relevant,inferred_regex_presence
mixed,debit_credit_indicator,0.0,17,relevant,internal_only
prospectus_supplement,notification_family,61.54,13,relevant,inferred_regex_presence
prospectus_supplement,notification_type,7.69,13,relevant,inferred_regex_presence
prospectus_supplement,notification_status,100.0,13,relevant,inferred_regex_presence
prospectus_supplement,processing_status,0.0,13,relevant,internal_only
prospectus_supplement,mandatory_voluntary_indicator,84.62,13,relevant,inferred_regex_presence
prospectus_supplement,security_description,100.0,13,relevant,inferred_regex_presence
prospectus_supplement,isin,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,cusip,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,ticker,84.62,13,relevant,inferred_regex_presence
prospectus_supplement,currency,100.0,13,relevant,inferred_regex_presence
prospectus_supplement,coupon_rate,76.92,13,relevant,inferred_regex_presence
prospectus_supplement,maturity_date,76.92,13,relevant,inferred_regex_presence
prospectus_supplement,corporate_action_type,100.0,13,relevant,observed_metadata
prospectus_supplement,event_subtype,38.46,13,relevant,inferred_regex_presence
prospectus_supplement,effective_date,46.15,13,relevant,inferred_regex_presence
prospectus_supplement,record_date,69.23,13,relevant,inferred_regex_presence
prospectus_supplement,ex_date,38.46,13,relevant,inferred_regex_presence
prospectus_supplement,payment_date,76.92,13,relevant,inferred_regex_presence
prospectus_supplement,settlement_date,100.0,13,relevant,inferred_regex_presence
prospectus_supplement,old_security_description,15.38,13,relevant,inferred_regex_presence
prospectus_supplement,old_security_isin,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,new_security_description,76.92,13,relevant,inferred_regex_presence
prospectus_supplement,new_security_isin,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,conversion_ratio,61.54,13,relevant,inferred_regex_presence
prospectus_supplement,conversion_price,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,redemption_amount,84.62,13,relevant,inferred_regex_presence
prospectus_supplement,call_price,7.69,13,relevant,inferred_regex_presence
prospectus_supplement,election_required,84.62,13,relevant,inferred_regex_presence
prospectus_supplement,available_options,0.0,13,relevant,inferred_regex_presence
prospectus_supplement,default_option,0.0,13,relevant,inferred_regex_presence
prospectus_supplement,election_deadline,84.62,13,relevant,inferred_regex_presence
prospectus_supplement,response_deadline,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,cancellation_reason,23.08,13,relevant,inferred_regex_presence
prospectus_supplement,eligible_quantity,0.0,13,relevant,internal_only
prospectus_supplement,position_quantity,0.0,13,relevant,internal_only
prospectus_supplement,principal_amount,76.92,13,relevant,inferred_regex_presence
prospectus_supplement,interest_amount,30.77,13,relevant,inferred_regex_presence
prospectus_supplement,cash_amount,69.23,13,relevant,inferred_regex_presence
prospectus_supplement,debit_credit_indicator,0.0,13,relevant,internal_only
registration_exchange_merger,notification_family,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,notification_type,50.0,8,relevant,inferred_regex_presence
registration_exchange_merger,notification_status,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,processing_status,0.0,8,relevant,internal_only
registration_exchange_merger,mandatory_voluntary_indicator,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,security_description,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,isin,0.0,8,relevant,inferred_regex_presence
registration_exchange_merger,cusip,50.0,8,relevant,inferred_regex_presence
registration_exchange_merger,ticker,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,currency,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,coupon_rate,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,maturity_date,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,corporate_action_type,100.0,8,relevant,observed_metadata
registration_exchange_merger,event_subtype,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,effective_date,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,record_date,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,ex_date,0.0,8,relevant,inferred_regex_presence
registration_exchange_merger,payment_date,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,settlement_date,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,old_security_description,37.5,8,relevant,inferred_regex_presence
registration_exchange_merger,old_security_isin,0.0,8,relevant,inferred_regex_presence
registration_exchange_merger,new_security_description,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,new_security_isin,0.0,8,relevant,inferred_regex_presence
registration_exchange_merger,conversion_ratio,62.5,8,relevant,inferred_regex_presence
registration_exchange_merger,conversion_price,12.5,8,relevant,inferred_regex_presence
registration_exchange_merger,redemption_amount,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,call_price,50.0,8,relevant,inferred_regex_presence
registration_exchange_merger,election_required,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,available_options,12.5,8,relevant,inferred_regex_presence
registration_exchange_merger,default_option,0.0,8,relevant,inferred_regex_presence
registration_exchange_merger,election_deadline,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,response_deadline,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,cancellation_reason,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,eligible_quantity,0.0,8,relevant,internal_only
registration_exchange_merger,position_quantity,0.0,8,relevant,internal_only
registration_exchange_merger,principal_amount,100.0,8,relevant,inferred_regex_presence
registration_exchange_merger,interest_amount,75.0,8,relevant,inferred_regex_presence
registration_exchange_merger,cash_amount,87.5,8,relevant,inferred_regex_presence
registration_exchange_merger,debit_credit_indicator,0.0,8,relevant,internal_only
